RDO:;NO. 15 ILAGAN, ISABELA;;;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;VILLA VICTORIA;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;BARCOLAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;90.00;;
ALL LOTS;PROVINCIAL ROAD;X;40.00;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;BUENAVISTA;;;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;DAMMAO;;;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;ECHAGUE;;;;
BARANGAY:;FURAO;;;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;GAMU;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;X;40.00;;
ALL LOTS;BARANGAY ROAD;RR;90.00;;
ALL LOTS;INTERIOR;RR;50.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;6.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;GUIBANG;;;;
ALL LOTS;NATIONAL ROAD;CR;120.00;;
;;X;40.00;;
;BARANGAY ROAD;RR;100.00;;
;INTERIOR;RR;50.00;;
;INTERIOR;A1;10.00;;
;INTERIOR;A2;6.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;LENZON;;;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;LINGLINGAY;;;;
ALL LOTS;BARANGAY ROAD;X;40.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;MABINI;;;;
ALL LOTS;PROVINCIAL ROAD;CR;60.00;;
ALL LOTS;PROVINCIAL ROAD;X;40.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;PINTOR;;;;
ALL LOTS;PROVINCIAL ROAD;CR;80.00;;
ALL LOTS;PROVINCIAL ROAD;X;40.00;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;RIZAL;;;;
ALL LOTS;PROVINCIAL ROAD;CR;80.00;;
ALL LOTS;PROVINCIAL ROAD;X;40.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;SITIO MALACANANG;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;SONGSONG;;;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;UNION;;;;
ALL LOTS;PROVINCIAL ROAD;CR;80.00;;
ALL LOTS;PROVINCIAL ROAD;X;40.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;GAMU;;;;
BARANGAY:;UPI;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;INTERIOR;RR;50.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;6.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;ABUAN;(CABISERA 27);;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;ALIBAGU;;;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;INTERIOR;CR;1,500.00;;
ALL LOTS;INTERIOR;X;2,500.00;;
ALL LOTS;BARANGAY ROAD;RR;800.00;;
ALL LOTS;INTERIOR;RR;400.00;;
ALL LOTS;INTERIOR;A1;9.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;ALINGUIGAN IST;;;;
ALL LOTS;BARANGAY ROAD;RR;300.00;;
ALL LOTS;INTERIOR;RR;145.00;;
ALL LOTS;INTERIOR;A1;9.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;ALINGUIGAN 2ND;;;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;NATIONAL ROAD;X;1,000.00;;
ALL LOTS;NATIONAL ROAD;I;2,500.00;;
ALL LOTS;BARANGAY ROAD;RR;1,000.00;;
ALL LOTS;INTERIOR;RR;500.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;ALINGUIGAN 3RD;;;;
ALL LOTS;NATIONAL ROAD;CR;1,000.00;;
ALL LOTS;NATIONAL ROAD;X;130.00;;
ALL LOTS;BARANGAY ROAD;RR;500.00;;
ALL LOTS;INTERIOR;RR;120.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;ANGGASIAN;;;;
ALL LOTS;BARANGAY ROAD;RR;150.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;9.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;ARUSIP;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;9.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BACULOD;;;;
ALL LOTS;POBLACION-BGY. ROAD;CR;2,000.00;;
ALL LOTS;POBLACION-BGY. ROAD;RR;800.00;;
ALL LOTS;INTERIOR;RR;400.00;;
ALL LOTS;INTERIOR;A1;9.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BAGONG SILANG;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
ALL LOTS;INTERIOR;RR;110.00;;
ALL LOTS;INTERIOR;A1;9.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BAGUMBAYAN;;;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;INTERIOR;CR;1,000.00;;
ALL LOTS;BARANGAY ROAD;RR;800.00;;
ALL LOTS;INTERIOR;RR;500.00;;
ALL LOTS;INTERIOR;A1;9.00;;
ALL LOTS;INTERIOR;A2;8.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BALIGATAN;;;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;INTERIOR;CR;1,000.00;;
ALL LOTS;INTERIOR;X;2,500.00;;
ALL LOTS;BARANGAY ROAD;RR;800.00;;
ALL LOTS;INTERIOR;RR;500.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BALLACONG;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BANGAG;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BATING;;;;
ALL LOTS;BARANGAY ROAD;RR;80.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BATONG-LABANG;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BIGAO;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;90.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BINTACAN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;BLISS VILLAGE;;;;
ALL LOTS;BARANGAY ROAD;RR;500.00;;
ALL LOTS;INTERIOR;RR;300.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CABANNUNGAN IST;;;;
ALL LOTS;BARANGAY ROAD;RR;500.00;;
ALL LOTS;INTERIOR;RR;200.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CABANNUNGAN 2ND;;;;
ALL LOTS;BARANGAY ROAD;RR;500.00;;
ALL LOTS;INTERIOR;RR;200.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CABISERA 2 (DAPPAT);;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CABISERA 3;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CABISERA 4;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CABISERA 5;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CABISERA 19;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CABISERA 23;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CABISERA 25;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CADU;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CAPO;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CALAMAGUI IST;;;;
ALL LOTS;BARANGAY ROAD;RR;275.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CALAMAGUI 2ND;;;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;INTERIOR;CR;1,000.00;;
ALL LOTS;INTERIOR;X;1,500.00;;
ALL LOTS;BARANGAY ROAD;RR;800.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CAMUNATAN;;;;
ALL LOTS;NATIONAL ROAD;RR;800.00;;
ALL LOTS;NATIONAL ROAD;CR;2,500.00;;
ALL LOTS;INTERIOR;RR;500.00;;
ALL LOTS;INTERIOR;CR;2,000.00;;
ALL LOTS;INTERIOR;X;1,000.00;;
;BARANGAY ROAD;RR;500.00;;
;BARANGAY ROAD;CR;1,000.00;;
;INTERIOR;RR;300.00;;
;INTERIOR;CR;800.00;;
;INTERIOR;A1;10.00;;
;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CANAPI;(SAN IGNACIO);;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;70.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CAPELLAN;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;75.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CAPOGOTAN;(CABISERA 9 & 11);;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
;INTERIOR;RR;100.00;;
;INTERIOR;A1;10.00;;
;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CARIKKIKAN NORTE;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CARIKKIKAN SUR;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;CASILAGAN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;INTERIOR;RR;70.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;FUGU;;;;
ALL LOTS;BARANGAY ROAD;RR;130.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;FUYO;;;;
ALL LOTS;PROVINCIAL ROAD;X;500.00;;
ALL LOTS;BARANGAY ROAD;RR;200.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;15.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;GAYUNG-GAYONG NORTE;;;;
ALL LOTS;BARANGAY ROAD;RR;130.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;GAYUNG-GAYONG SUR;;;;
ALL LOTS;BARANGAY ROAD;RR;130.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;GUINATAN;;;;
ALL LOTS;NATIONAL ROAD;CR;4,000.00;;
ALL LOTS;NATIONAL ROAD;I;3,000.00;;
ALL LOTS;BARANGAY ROAD;RR;1,000.00;;
ALL LOTS;INTERIOR;RR;1,000.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;LULUTAN;;;;
ALL LOTS;BARANGAY ROAD;RR;500.00;;
ALL LOTS;INTERIOR;RR;200.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;LUPIGUI;(CABISERA 10);;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;MALALAM;;;;
ALL LOTS;NATIONAL ROAD;CR;4,000.00;;
ALL LOTS;INTERIOR;CR;3,000.00;;
ALL LOTS;INTERIOR;X;2,000.00;;
ALL LOTS;BARANGAY ROAD;RR;1,000.00;;
ALL LOTS;INTERIOR;RR;1,000.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;MALASIN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;MANARING;;;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;INTERIOR;CR;1,000.00;;
ALL LOTS;INTERIOR;X;1,000.00;;
ALL LOTS;BARANGAY ROAD;RR;1,000.00;;
ALL LOTS;INTERIOR;RR;800.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;MANGCURAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;600.00;;
ALL LOTS;PROVINCIAL ROAD;X;250.00;;
ALL LOTS;BARANGAY ROAD;RR;200.00;;
ALL LOTS;INTERIOR;RR;150.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;MAPLAS;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;MARANA IST;;;;
ALL LOTS;NATIONAL ROAD;CR;4,000.00;;
ALL LOTS;INTERIOR;CR;3,000.00;;
ALL LOTS;INTERIOR;I;1,000.00;;
ALL LOTS;BARANGAY ROAD;RR;1,000.00;;
ALL LOTS;INTERIOR;RR;500.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;MARANA 2ND;;;;
ALL LOTS;NATIONAL ROAD;CR;1,000.00;;
ALL LOTS;INTERIOR;CR;700.00;;
ALL LOTS;INTERIOR;X;120.00;;
ALL LOTS;BARANGAY ROAD;RR;220.00;;
ALL LOTS;INTERIOR;RR;175.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;MARANA 3RD;;;;
ALL LOTS;NATIONAL ROAD;CR;4,000.00;;
ALL LOTS;INTERIOR;CR;3,000.00;;
ALL LOTS;INTERIOR;X;2,000.00;;
ALL LOTS;BARANGAY ROAD;RR;1,000.00;;
ALL LOTS;INTERIOR;RR;200.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;MINABANG;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;MORADO;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;90.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;NAGALISAN;(CABISERA 7);;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;NAGUILIAN NORTE;;;;
NAGUILIAN NORTE;BARANGAY ROAD;RR;500.00;;
NAGUILIAN NORTE;INTERIOR;RR;250.00;;
NAGUILIAN NORTE;INTERIOR;A1;10.00;;
NAGUILIAN NORTE;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;NAGUILIAN SUR;;;;
ALL LOTS;BARANGAY ROAD;RR;500.00;;
ALL LOTS;INTERIOR;RR;250.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;NAMNAMA;;;;
ALL LOTS;;RR;120.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;A1;10.00;;
ALL LOTS;;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;NANAGUAN;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;OSMENA;;;;
ALL LOTS;NATIONAL ROAD;CR;2,000.00;;
ALL LOTS;NATIONAL ROAD;CR;1,500.00;;
ALL LOTS;NATIONAL ROAD;X;2,000.00;;
;BARANGAY ROAD;RR;1,500.00;;
;INTERIOR;RR;800.00;;
;INTERIOR;A1;10.00;;
;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;PALIUG (CABSIER 6 & 24);;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;PAZA;;;;
ALL LOTS;BARANGAY ROAD;RR;110.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;PILAR;;;;
ALL LOTS;BARANGAY ROAD;RR;110.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;POBLACION (CENTRO);;;;
ALL LOTS;NATIONAL ROAD;CR;2,500.00;;
ALL LOTS;INTERIOR;CR;1,650.00;;
ALL LOTS;INTERIOR;X;1,350.00;;
ALL LOTS;BARANGAY ROAD;RR;1,800.00;;
ALL LOTS;INTERIOR;RR;1,000.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;PULIPUL;;;;
ALL LOTS;NATIONAL ROAD;CR;1,000.00;;
ALL LOTS;INTERIOR;CR;600.00;;
ALL LOTS;INTERIOR;X;100.00;;
ALL LOTS;BARANGAY ROAD;RR;200.00;;
ALL LOTS;INTERIOR;RR;150.00;;
ALL LOTS;INTERIOR;A1;8.00;;
ALL LOTS;INTERIOR;A2;4.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;QUIMALABASA;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;80.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;RANG-AYAN;;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;100.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;RUGAO;;;;
ALL LOTS;NATIONAL ROAD;CR;4,000.00;;
ALL LOTS;INTERIOR;CR;3,000.00;;
ALL LOTS;INTERIOR;X;2,500.00;;
ALL LOTS;BARANGAY ROAD;RR;1,000.00;;
ALL LOTS;INTERIOR;RR;800.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
CITY/MUNICIPALITY:;ILAGAN;;;;
BARANGAY:;SABLANG (CABISERA 22);;;;
ALL LOTS;BARANGAY ROAD;RR;120.00;;
ALL LOTS;INTERIOR;RR;90.00;;
ALL LOTS;INTERIOR;A1;10.00;;
ALL LOTS;INTERIOR;A2;5.00;;
